,No_modules,Module_per_bone,Module_snout_braincase_cheek_occotic,Module_snout_palatine_skullroof_floorbraincase_cheek_occotic_Lateral_side_braincase,Module_tout,Module_tout_plus,Module_dorsal_ventral,Module_sequence_ossification,Module_embryo
LM1,1,1,1,1,1,1,1,1,1
LM2,1,1,1,1,1,1,1,1,1
LM3,1,1,1,1,1,1,1,1,1
LM4,1,1,1,1,1,1,1,1,1
LM5,1,12,1,1,5,5,2,3,1
LM6,1,12,1,1,5,5,2,3,1
LM7,1,12,1,1,5,5,2,3,1
LM8,1,12,1,1,5,5,2,3,1
LM9,1,7,2,2,6,6,2,2,1
LM10,1,7,2,2,6,6,2,2,1
LM11,1,7,2,2,6,6,2,2,1
LM12,1,7,2,2,6,6,2,2,1
LM13,1,7,2,2,6,6,2,2,1
LM14,1,4,3,3,7,7,2,1,1
LM15,1,4,3,3,7,7,2,1,1
LM16,1,4,3,3,7,7,2,1,1
LM17,1,4,3,3,7,7,2,1,1
LM18,1,4,3,3,7,7,2,1,1
LM19,1,4,3,3,7,7,2,1,1
LM20,1,15,3,3,8,8,2,4,1
LM21,1,15,3,3,8,8,2,4,1
LM22,1,15,3,3,8,8,2,4,1
LM23,1,15,3,3,8,8,2,4,1
LM24,1,15,3,3,8,8,2,4,1
LM25,1,15,3,3,8,8,2,4,1
LM26,1,2,2,4,3,3,1,2,1
LM27,1,2,2,4,3,3,1,2,1
LM28,1,3,2,4,4,4,1,2,1
LM29,1,3,2,4,4,4,1,2,1
LM30,1,3,2,4,4,4,1,2,1
LM31,1,1,1,5,2,2,2,1,1
LM32,1,1,1,5,2,2,2,1,1
LM33,1,1,1,5,2,2,2,1,1
LM34,1,1,1,5,2,2,2,1,1
LM35,1,12,1,5,9,9,2,3,1
LM36,1,12,1,5,9,9,2,3,1
LM37,1,12,1,5,9,9,2,3,1
LM38,1,11,1,1,10,10,1,3,1
LM39,1,11,1,1,10,10,1,3,1
LM40,1,11,1,1,10,10,1,3,1
LM41,1,8,4,6,11,11,1,2,2
LM42,1,8,4,6,11,11,1,2,2
LM43,1,9,4,6,12,12,1,2,2
LM44,1,9,4,6,12,12,2,2,2
LM45,1,8,4,6,13,13,2,2,2
LM46,1,8,4,6,13,13,2,2,2
LM47,1,10,4,6,14,14,1,2,2
LM48,1,10,4,6,14,14,2,2,2
LM49,1,10,4,6,14,14,2,2,2
LM50,1,10,4,6,14,14,2,2,2
LM51,1,6,1,5,15,15,2,4,1
LM52,1,6,1,5,15,15,2,4,1
LM53,1,6,1,5,15,15,2,4,1
LM54,1,6,1,5,15,15,2,4,1
LM55,1,8,4,6,13,13,2,2,2
LM56,1,8,4,6,13,13,2,2,2
LM57,1,8,4,6,13,13,2,2,2
LM58,1,8,4,6,11,11,1,2,2
LM59,1,8,4,6,11,11,1,2,2
LM60,1,10,4,6,14,14,2,2,2
LM61,1,10,4,6,14,14,1,2,2
LM62,1,10,4,6,14,14,2,2,2
LM63,1,10,4,6,14,14,1,2,2
LM64,1,10,4,6,14,14,1,2,2
LM65,1,8,4,6,13,13,2,2,2
